Species	Formula	EoF298	Unc	WB_ID	Squib	Method
Ti(Cp)2(Fc)2	C30H28Fe2Ti	638.0	19.0	B2000229	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr) and on 154.9±4.5 kJ/mol for the enthalpy of formation of Fe(Cp)2(cr)
Ti(Cp)2(OPh)2	C22H20O2Ti	-297.0	12.0	B2000232	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(2-MeC6H4O)2	C24H24O2Ti	-345.0	12.0	B2000233	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(3-MeC6H4O)2	C24H24O2Ti	-305.0	12.0	B2000234	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(4-MeC6H4O)2	C24H24O2Ti	-345.0	11.0	B2000235	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(4-MeOC6H4)2	C24H24O2Ti	12.0	12.0	B2000236	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(2-ClC6H4O)2	C22H18Cl2O2Ti	-350.0	24.0	B2000237	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(OOCPh)2	C24H20O4Ti	-855.0	15.0	B2000238	1997MAR0B	Review
Ti(Cp)2(OOCCF3)2	C14H10F6O4Ti	-2145.0	12.0	B2000239	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(OOCCCl3)2	C14H10Cl6O4Ti	-965.0	20.0	B2000240	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(NC8H6)2	C26H22N2Ti	290.0	13.0	B2000241	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(N3)2	C10H10N6Ti	506.0	16.0	B2000242	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(SEt)2	C14H20S2Ti	-106.0	13.0	B2000243	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(SPr)2	C16H24S2Ti	-160.0	13.0	B2000244	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(SPh)2	C22H20S2Ti	147.0	13.0	B2000245	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(Cl)(Me)	C11H13ClTi	-125.0	13.0	B2000246	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(Cl)(Ph)	C16H15ClTi	40.0	13.0	B2000247	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(S2C6H3Me)	C17H16S2Ti	80.0	14.0	B2000253	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Zr(O-i-Pr)4	C12H28O4Zr	-1713.0	18.0	B2000268	1997MAR0B	Review
Zr(Cp)2(Me)2	C12H16Zr	37.2	3.4	B2000271	1997MAR0B	Review
Zr(Cp)2(Ph)2	C22H20Zr	368.0	12.0	B2000273	1997MAR0B	Review
Hf(O-i-Pr)4	C12H28HfO4	-1769.0	18.0	B2000316	1997MAR0B	Review
V(PhEt)(C6H4Et2)	C18H24V	20.4	9.7	B2000333	1997MAR0B	Review
V(O-t-Bu)4	C16H36O4V	-1366.5	6.2	B2000335	1997MAR0B	Review
Nb(OMe)5	C5H15NbO5	-1333.0	11.0	B2000336	1997MAR0B	Review
Nb(OPr)5	C15H35NbO5	-1599.0	7.9	B2000338	1997MAR0B	Review
Ta(OPr)5	C15H35O5Ta	-1649.9	9.8	B2000346	1997MAR0B	Review
cis-Pd(Cl)2(cod)	C8H12Cl2Pd	-52.0	22.0	B2000437	1997MAR0B	Review
cis-Pd(Cl)2(MeCN)2	C4H6Cl2N2Pd	-16.0	22.0	B2000453	1997MAR0B	Review
trans-Pd(Cl)2(SEt2)2	C8H20Cl2PdS2	-429.0	20.0	B2000455	1997MAR0B	Review
trans-Pd(Cl)2(SeEt2)2	C8H20Cl2PdSe2	-360.0	21.0	B2000456	1997MAR0B	Review
trans-Pd(Cl)2(TeEt2)2	C8H20Cl2PdTe2	-572.0	20.0	B2000457	1984MOR233	
cis-Pd(PPh3)2(Cl)2	C36H30Cl2P2Pd	511.0	26.0	B2000459	1997MAR0B	Review
Pt(Cp)2(Me)2	C12H16Pt	214.1	8.4	B2000502	1997MAR0B	Review
cis-Pt(Cl)2(NH3)2	H6Cl2N2Pt	-173.0	16.0	B2000503	1997MAR0B	Review
cis-Pt(Cl)2(NH2-i-Pr)2	C6H18Cl2N2Pt	-291.0	18.0	B2000511	1997MAR0B	Review
cis-Pt(Cl)2(NH2Bu)2	C8H22Cl2N2Pt	-322.0	20.0	B2000514	1997MAR0B	Review
cis-Pt(Cl)2(py)2	C10H10Cl2N2Pt	150.0	12.0	B2000516	1997MAR0B	Review
cis-Pt(Cl)2[1,2-(NH2)2C2H4]	C2H8Cl2N2Pt	-164.0	20.0	B2000517	1997MAR0B	Review
cis-Pt(PEt3)2(Me)2	C14H36P2Pt	-389.0	22.0	B2000528	1997MAR0B	Review
cis-Pt(PEt3)2(2-Tol)2	C26H44P2Pt	-146.0	32.0	B2000530	1997MAR0B	Review
cis-Pt(PEt3)2(Cl)(Me)	C13H33ClP2Pt	-417.0	29.0	B2000531	1997MAR0B	Review
cis-Pt(PEt3)2(Cl)(2-Tol)	C19H37ClP2Pt	-316.0	32.0	B2000538	1997MAR0B	Review
cis-Pt(PEt3)2(Cl)2	C12H30Cl2P2Pt	-482.0	30.0	B2000539	1997MAR0B	Review
trans-Pt(PEt3)2(Cl)2	C12H30Cl2P2Pt	-495.0	21.0	B2000540	1997MAR0B	Review
cis-Pt(PEt3)2(Cl)4	C12H30Cl4P2Pt	-663.0	29.0	B2000541	1997MAR0B	Review
cis-Pt(PEt3)2(SEt2)2	C16H40P2PtS2	-455.0	20.0	B2000542	1997MAR0B	Review
trans-Pt[P(i-Pr)3]2(Cl)2	C18H42Cl2P2Pt	-592.0	22.0	B2000543	1997MAR0B	Review
cis-Pt(PMe2Ph)2(Cl)2	C16H22Cl2P2Pt	-95.0	29.0	B2000555	1997MAR0B	Review
trans-Pt(PPh3)2(Cl)(H)	C36H31ClP2Pt	532.0	31.0	B2000590	1997MAR0B	Review # The enthalpy of formation relies on 972.7±22.4 kJ/mol for the enthalpy of formation of Pt(PPh3)2[C2(CN)4](cr).
cis-Pt(PPh3)2(Cl)2	C36H30Cl2P2Pt	469.0	23.0	B2000596	1997MAR0B	Review
cis-Pt(PPh3)2(I)2	C36H30I2P2Pt	642.0	26.0	B2000598	1997MAR0B	Review # The enthalpy of formation relies on 476.0±20.0 kJ/mol for the enthalpy of formation of Pt(PPh3)2(C2H4)(cr).
cis-Pt(PPh3)2(I)(Me)	C37H33IP2Pt	623.0	28.0	B2000599	1997MAR0B	Review # The enthalpy of formation relies on 476.0±20.0 kJ/mol for the enthalpy of formation of Pt(PPh3)2(C2H4)(cr).
Pt(PPh3)2(C2H4)	C38H34P2Pt	706.0	28.0	B2000600	1997MAR0B	Review # The enthalpy of formation relies on 753.5±19.9 kJ/mol for the enthalpy of formation of Pt(PPh3)2(C2Ph2)(cr).
Pt(PPh3)2(C2Ph2)	C50H40P2Pt	1039.0	28.0	B2000602	1997MAR0B	Review # The enthalpy of formation relies on 193.8±11.7 kJ/mol for the enthalpy of formation of cis-Pt(PPh3)2(Cl)2(cr).
Pt(PPh3)2(CS2)	C37H30P2PtS2	741.0	28.0	B2000603	1997MAR0B	Review # The enthalpy of formation relies on 476.0±20.0 kJ/mol for the enthalpy of formation of Pt(PPh3)2(C2H4)(cr).
Pt(PPh3)2[C2(CN)4]	C42H30N4P2Pt	1233.0	30.0	B2000607	1997MAR0B	Review # The enthalpy of formation relies on 476.0±20.0 kJ/mol for the enthalpy of formation of Pt(PPh3)2(C2H4)(cr).
cis-Pt(PPh3)2(SEt)2	C40H40P2PtS2	487.0	27.0	B2000611	1997MAR0B	Review
trans-Pt(PCy3)2(Cl)2	C36H66Cl2P2Pt	-700.0	29.0	B2000614	1997MAR0B	Review
Pt[(OOC)2CH2][C2H4(NH2)2]	C5H10N2O4Pt	-693.0	21.0	B2000622	1997MAR0B	Review # The enthalpy of formation relies on -437.0±6.5 kJ/mol for the enthalpy of formation of cis-Pt(Cl)2[C2H4(NH2)2](cr).
Pt[(OOC)2CHMe](NH2Et)2	C8H18N2O4Pt	-778.0	23.0	B2000623	1997MAR0B	Review # The enthalpy of formation relies on -490±10 kJ/mol for the estimated enthalpy of formation of cis-Pt(Cl)2(NH2Et)2(cr) 1983ALT/PIL0.
Pt[(OOC)2CHEt](NH2Et)2	C9H20N2O4Pt	-764.0	22.0	B2000625	1997MAR0B	Review # The enthalpy of formation relies on -490±10 kJ/mol for the estimated enthalpy of formation of cis-Pt(Cl)2(NH2Et)2(cr) 1983ALT/PIL0.
Pt(1,1-cbda)(NH3)2	C6H12N2O4Pt	-668.0	20.0	B2000627	1997MAR0B	Review # The enthalpy of formation relies on -467.2±3.0 kJ/mol for the enthalpy of formation of cis-Pt(Cl)2(NH3)2(cr).
Pt(1,1-cbda)(NH2Me)2	C8H16N2O4Pt	-601.0	22.0	B2000628	1997MAR0B	Review # The enthalpy of formation relies on -424.2±8.3 kJ/mol for the enthalpy of formation of cis-Pt(Cl)2(NH2Me)2(cr).
Pt(1,1-cbda)(NH2Et)2	C10H20N2O4Pt	-657.0	22.0	B2000629	1997MAR0B	Review # The enthalpy of formation relies on -490±10 kJ/mol for the estimated enthalpy of formation of cis-Pt(Cl)2(NH2Et)2(cr) 1983ALT/PIL0.
Pt(1,1-cbda)(NH2-i-Pr)2	C12H24N2O4Pt	-755.0	21.0	B2000630	1997MAR0B	Review # The enthalpy of formation relies on -599.0±5.3 kJ/mol for the enthalpy of formation of cis-Pt(Cl)2(NH2-i-Pr)2(cr).
Pt(1,2-cbda)(NH2Me)2	C8H16N2O4Pt	-544.0	22.0	B2000631	1997MAR0B	Review # The enthalpy of formation relies on -424.2±8.3 kJ/mol for the enthalpy of formation of cis-Pt(Cl)2(NH2Me)2(cr).
Zn(Et)	C2H5Zn	175.0	17.0	B2000674	1997MAR0B	Review # The enthalpy of formation relies on 55.5±3.9 kJ/mol for the enthalpy of formation of Zn(Et)2(g).
Zn(Bu)2	C8H18Zn	-55.0	23.0	B2000677	1997MAR0B	Review
Zn(neo-Pe)2	C10H22Zn	-121.0	17.0	B2000681	1997MAR0B	Review # The uncertainty assigned to the enthalpy of formation has been estimated in 1988GUM/JEF53.
Zn(CH2SiMe3)2	C8H22Si2Zn	-331.0	17.0	B2000682	1997MAR0B	Review # The uncertainty assigned to the enthalpy of formation has been estimated in 1988GUM/JEF53.
Cd[N(SiMe3)2]2	C12H36CdN2Si4	-782.0	23.0	B2000689	1988GUM/JEF53	RSC
Hg(Me)	CH3Hg	201.0	17.0	B2000691	1997MAR0B	Review # The enthalpy of formation relies on 92.4±3.1 kJ/mol for the enthalpy of formation of Hg(Me)2(g).
Hg(Et)	C2H5Hg	161.0	17.0	B2000693	1997MAR0B	Review # The enthalpy of formation relies on 75.0±2.3 kJ/mol for the enthalpy of formation of Hg(Et)2(g).
Hg(Bz)2	C14H14Hg	278.0	4.5	B2000700	1997MAR0B	Review
Hg[N(SiMe3)2]2	C12H36HgN2Si4	-760.0	13.0	B2000702	1988GUM/JEF53	RSC
Hg[Ge(Et)3]2	C12H30Ge2Hg	-41.8	7.3	B2000721	1997MAR0B	Review
Hg[Ge(i-Pr)3]2	C18H42Ge2Hg	-222.5	7.6	B2000722	1997MAR0B	Review
Al(i-Bu)3	C12H27Al	-327.3		B2000727	1997MAR0B	Review # The molar fraction of monomer in liquid tri-isobutylaluminum at 298 K is ca. 74% 1970SMI273.
Al(Cl)(i-Bu)2	C8H18AlCl	-414.7		B2000737	1997MAR0B	Review
Ga(Me)2	C2H6Ga	81.0	20.0	B2000756	1997MAR0B	Review # The enthalpy of formation relies on -36.0±10.0 kJ/mol for the enthalpy of formation of Ga(Me)3(g).
Ga(Et)2	C4H10Ga	28.0	20.0	B2000758	1997MAR0B	Review # The enthalpy of formation relies on -62.3±10 kJ/mol for the enthalpy of formation of Ga(Et)3(g).
Ga(Bu)3	C12H27Ga	-226.9		B2000759	1997MAR0B	Review
Ga(i-Bu)3	C12H27Ga	-239.5		B2000760	1997MAR0B	Review
In(Me)2	C2H6In	267.0	19.0	B2000764	1997MAR0B	Review # The enthalpy of formation relies on 208.6±9.9 kJ/mol for the enthalpy of formation of In(Me)3(g).
Ge(Me)3	C3H9Ge	93.0	18.0	B2000773	1997MAR0B	Review # The enthalpy of formation relies on -107.5±6.4 kJ/mol for the enthalpy of formation of Ge(Me)4(g).
Ge(Ph)2(CH2)4	C16H18Ge	139.0	10.0	B2000778	1997MAR0B	Review
Ge(Ph)3(CHCH2)	C20H18Ge	362.6	6.8	B2000782	1997MAR0B	Review
Ge(Ph)3(CCPh)	C26H20Ge	578.9	7.9	B2000784	1997MAR0B	Review
Ge(Bz)4	C28H28Ge	388.0	14.0	B2000785	1997MAR0B	Review
Ge(Et)3(OO-t-Bu)	C10H24GeO2	-444.5	7.2	B2000786	1997MAR0B	Review
Ge(OPh)4	C24H20GeO4	-422.4	5.6	B2000789	1997MAR0B	Review # The enthalpy of formation has been derived on the basis of GeO2(am).
Ge(Et)3(NEt2)	C10H25GeN	-298.3	6.9	B2000790	1997MAR0B	Review
[Ge(Me)2O]4	C8H24Ge4O4	-1453.0	22.0	B2000798	1997MAR0B	Review
Sn(Et)3	C6H15Sn	103.0	17.0	B2000809	1997MAR0B	Review # The enthalpy of formation relies on -42.0±2.6 kJ/mol for the enthalpy of formation of Sn(Et)4(g).
Sn(Ph)2(CH2)4	C16H18Sn	304.9	7.6	B2000816	1997MAR0B	Review
Sn(Ph)2(CH2)5	C17H20Sn	292.1	6.9	B2000819	1997MAR0B	Review
Sn(Et)3(OO-t-Bu)	C10H24O2Sn	-369.0	16.0	B2000826	1997MAR0B	Review
Sn(Et)3(OOCMe2Ph)	C15H26O2Sn	-226.0	8.9	B2000828	1997MAR0B	Review
Sn(Et)3(NEt2)	C10H25NSn	-156.9	6.1	B2000829	1997MAR0B	Review
Sn(Me)3(I)	C3H9ISn	-82.5	5.9	B2000832	1997MAR0B	Review # The enthalpy of formation relies on -77.1±7.7 kJ/mol for the enthalpy of formation of Sn2(Me)6(l).
Sn(Bu)3(Br)	C12H27BrSn	-271.0	13.0	B2000833	1997MAR0B	Review # The enthalpy of formation relies on -300.2±4.0 kJ/mol for the enthalpy of formation of Sn(Bu)4(l).
Pb(Me)3	C3H9Pb	228.0	17.0	B2000844	1997MAR0B	Review # The enthalpy of formation relies on 136.1±4.4 kJ/mol for the enthalpy of formation of Pb(Me)4(g).
Pb(Et)3	C6H15Pb	221.0	18.0	B2000846	1997MAR0B	Review # The enthalpy of formation relies on 109.6±5.1 kJ/mol for the enthalpy of formation of Pb(Et)4(g).
Pb(Ph)3(I)	C18H15IPb	455.0	18.0	B2000849	1997MAR0B	Review # The enthalpy of formation relies on 150.1±17.5 kJ/mol for the enthalpy of formation of Pb(Ph)2(I)2(cr).
Pb(Ph)2(I)2	C12H10I2Pb	288.0	18.0	B2000851	1997MAR0B	Review # The enthalpy of formation relies on 515.1±15.4 kJ/mol for the enthalpy of formation of Pb(Ph)4(cr).
Sb(Me)2	C2H6Sb	140.0	30.0	B2000853	1997MAR0B	Review # The enthalpy of formation relies on 32.2±25.2 kJ/mol for the enthalpy of formation of Sb(Me)3(g).
Sb(Et)2	C4H10Sb	172.0	20.0	B2000855	1997MAR0B	Review # The enthalpy of formation relies on 48.7±11.5 kJ/mol for the enthalpy of formation of Sb(Et)3(g).
Bi(Me)2	C2H6Bi	265.0	22.0	B2000859	1997MAR0B	Review # The enthalpy of formation relies on 194.4±14.3 kJ/mol for the enthalpy of formation of Bi(Me)3(g).
Cr(C6H6)2	C12H12Cr	180.0	34.0	B2000863	1997MAR0B	Review
Cr(C10H8)2	C20H16Cr	407.0	10.0	B2000867	1997MAR0B	Review
Cr(i-PrPh)[1,2-(i-Pr)2C6H4]	C21H30Cr	-32.0	11.0	B2000869	1997MAR0B	Review
Cr[1,2-(i-Pr)2C6H4]2	C24H36Cr	-104.0	12.0	B2000871	1997MAR0B	Review
Cr(O-t-Bu)4	C16H36CrO4	-1295.3	5.3	B2000872	1997MAR0B	Review
Cr(CO)3(C10H8)	C13H8CrO3	-258.3	7.8	B2000876	1997MAR0B	Review
Cr(CO)5(C4H4N2)	C9H4CrN2O5	-534.1	6.5	B2000896	1997MAR0B	Review # The enthalpy of formation relies on -908.4±2.6 kJ/mol for the enthalpy of formation of Cr(CO)6(g)
Cr(CO)4(py)2	C14H10CrN2O4	-388.0	22.0	B2000925	1997MAR0B	Review # The value for the enthalpy of formation was recommended in 1978ADE/CON333
Cr(CO)4(pip)2	C14H22CrN2O4	-791.0	13.0	B2000926	1997MAR0B	Review # The enthalpy of formation relies on -908.4±2.6 kJ/mol for the enthalpy of formation of Cr(CO)6(g)
Mo(Cp)2(N2Ph2)	C22H20MoN2	624.0	17.0	B2001028	1997MAR0B	Review # The enthalpy of formation relies on 72.4±8.0 kJ/mol for the enthalpy of formation of Mo(Cp)2(I)2(cr)
Mo(Cp)2(SO4)	C10H10MoO4S	-578.0	12.0	B2001029	1997MAR0B	Review # The enthalpy of formation relies on -361.6±4.6 kJ/mol for the enthalpy of formation of Mo(Cp)2(SC10H21)(cr)
Mo(Cp)2(OOCPh)2	C24H20MoO4	-408.0	11.0	B2001031	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(OOCCF3)2	C14H10F6MoO4	-1896.0	11.0	B2001032	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(SPr)2	C16H24MoS2	79.0	12.0	B2001033	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(S-i-Pr)2	C16H24MoS2	67.0	11.0	B2001034	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(SBu)2	C18H28MoS2	-4.0	12.0	B2001035	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(S-t-Bu)2	C18H28MoS2	23.0	11.0	B2001036	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(SPh)2	C22H20MoS2	377.0	11.0	B2001037	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(SC10H21)2	C30H52MoS2	-257.0	11.0	B2001038	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(Br)2	C10H10Br2Mo	121.0	14.0	B2001040	1997MAR0B	Review # The enthalpy of formation relies on 213.2±6.1 kJ/mol for the enthalpy of formation of Mo(Cp)2(H)2(cr)
Mo(Cp)2(I)2	C10H10I2Mo	131.2	4.9	B2001041	1997MAR0B	Review
Mo(Cp)2(Et)2	C14H20Mo	293.8	5.1	B2001043	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(Bu)2	C18H28Mo	211.0	12.0	B2001044	1997MAR0B	Review # The enthalpy of formation relies on -96.3±2.9 kJ/mol for the enthalpy of formation of Mo(Cp)2(Cl)2(cr)
Mo(Cp)2(C2Ph2)	C24H20Mo	664.0	22.0	B2001046	1997MAR0B	Review # The enthalpy of formation relies on 72.4±8.0 kJ/mol for the enthalpy of formation of Mo(Cp)2(I)2(cr)
Mo(CO)5	C5MoO5	-635.0	13.0	B2001048	1997MAR0B	Review # Temperature range: 670-760 K.
Mo(CO)4	C4MoO4	-412.0	25.0	B2001050	1997MAR0B	Review # The enthalpy of formation relies on -635.3±12.8 kJ/mol for the enthalpy of formation of Mo(CO)5(g)
Mo(CO)3	C3MoO3	-171.0	33.0	B2001051	1997MAR0B	Review # The enthalpy of formation relies on -412±25 kJ/mol for the enthalpy of formation of Mo(CO)4(g)
Mo(CO)5(py)	C10H5MoNO5	-619.4	4.2	B2001054	1997MAR0B	Review # The enthalpy of formation relies on -915.3±2.1 kJ/mol for the enthalpy of formation of Mo(CO)6(g)
Mo(CO)5(pip)	C10H11MoNO5	-865.5	8.8	B2001055	1997MAR0B	Review # The enthalpy of formation relies on -915.3±2.1 kJ/mol for the enthalpy of formation of Mo(CO)6(g)
Mo(CO)4(py)2	C14H10MoN2O4	-354.0	11.0	B2001060	1997MAR0B	Review # The enthalpy of formation relies on -915.3±2.1 kJ/mol for the enthalpy of formation of Mo(CO)6(g)
Mo(CO)4(pip)2	C14H22MoN2O4	-843.0	16.0	B2001062	1997MAR0B	Review # The enthalpy of formation relies on -915.3±2.1 kJ/mol for the enthalpy of formation of Mo(CO)6(g)
Mo(CO)3(cy-C7H8)	C10H8MoO3	-212.0	6.2	B2001090	1997MAR0B	Review
Mo(CO)3(C6Me6)	C15H18MoO3	-498.5	7.9	B2001096	1997MAR0B	Review
Mo(CO)3(MeCN)3	C9H9MoN3O3	-299.0	10.0	B2001101	1997MAR0B	Review
Mo(CO)3(py)3	C18H15MoN3O3	-145.0	13.0	B2001102	1997MAR0B	Review # The enthalpy of formation relies on -989.1±1.8 kJ/mol for the enthalpy of formation of Mo(CO)6(cr)
Mo(CO)3(pip)3	C18H33MoN3O3	-745.0	23.0	B2001103	1997MAR0B	Review # The enthalpy of formation relies on -915.3±2.1 kJ/mol for the enthalpy of formation of Mo(CO)6(g)
Mo2(mhp)2(OOCMe)2	C16H18Mo2O6	-1205.0	14.0	B2001134	1997MAR0B	Review
Mo2(O-i-Pr)6	C18H42Mo2O6	-1550.0	13.0	B2001135	1997MAR0B	Review
Mo2(OOCMe)4	C8H12Mo2O8	-1801.0	11.0	B2001136	1997MAR0B	Review
Mo2(OOCMe)2(acac)2	C14H20Mo2O8	-1646.0	11.0	B2001137	1997MAR0B	Review
Mo2(O-i-Pr)8	C24H56Mo2O8	-2157.0	18.0	B2001138	1997MAR0B	Review
W(Cp)2(OOCPh)2	C24H20O4W	-358.0	13.0	B2001155	1997MAR0B	Review # The enthalpy of formation relies on -63.1±7.2 kJ/mol for the enthalpy of formation of W(Cp)2(Cl)2(cr)
W(Cp)2(OOCCF3)2	C14H10F6O4W	-1832.0	13.0	B2001156	1997MAR0B	Review # The enthalpy of formation relies on -63.1±7.2 kJ/mol for the enthalpy of formation of W(Cp)2(Cl)2(cr)
W(Cp)2(SEt)2	C14H20S2W	163.0	13.0	B2001157	1997MAR0B	Review # The enthalpy of formation relies on -63.1±7.2 kJ/mol for the enthalpy of formation of W(Cp)2(Cl)2(cr)
